Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:14:54.262,RESULT,0x0003,0x0002,32,-74,,32,100.00
17:14:59.633,EVENT,TEST_START,Duration_ms=60000,,,,,
17:15:00.719,DATA,0x0003,0x0003,1,-66,1,,
17:15:00.749,DATA,0x0005,0x0005,1,-69,1,,
17:15:00.780,DATA,0x0004,0x0004,1,-70,1,,
17:15:01.669,DATA,0x0003,0x0003,2,-64,1,,
17:15:01.704,DATA,0x0004,0x0004,2,-69,1,,
17:15:01.720,DATA,0x0005,0x0005,2,-84,1,,
17:15:02.679,DATA,0x0005,0x0005,3,-79,1,,
17:15:02.707,DATA,0x0004,0x0004,3,-74,1,,
17:15:02.723,DATA,0x0003,0x0003,3,-64,1,,
17:15:03.695,DATA,0x0003,0x0003,4,-65,1,,
17:15:03.730,DATA,0x0005,0x0005,4,-85,1,,
17:15:03.750,DATA,0x0004,0x0004,4,-70,1,,
17:15:04.663,DATA,0x0004,0x0004,5,-70,1,,
17:15:04.703,DATA,0x0005,0x0005,5,-67,1,,
17:15:04.714,DATA,0x0003,0x0003,5,-62,1,,
17:15:05.665,DATA,0x0003,0x0003,6,-64,1,,
17:15:05.703,DATA,0x0005,0x0005,6,-81,1,,
17:15:05.726,DATA,0x0004,0x0004,6,-75,1,,
17:15:06.664,DATA,0x0004,0x0004,7,-68,1,,
17:15:06.705,DATA,0x0005,0x0005,7,-65,1,,
17:15:06.717,DATA,0x0003,0x0003,7,-65,1,,
17:15:07.671,DATA,0x0005,0x0005,8,-80,1,,
17:15:07.706,DATA,0x0004,0x0004,8,-71,1,,
17:15:07.736,DATA,0x0003,0x0003,8,-64,1,,
17:15:08.653,DATA,0x0003,0x0003,9,-62,1,,
17:15:08.699,DATA,0x0005,0x0005,9,-74,1,,
17:15:08.718,DATA,0x0004,0x0004,9,-68,1,,
17:15:09.680,DATA,0x0004,0x0004,10,-70,1,,
17:15:09.696,DATA,0x0003,0x0003,10,-64,1,,
17:15:09.717,DATA,0x0005,0x0005,10,-86,1,,
17:15:10.680,DATA,0x0005,0x0005,11,-78,1,,
17:15:10.693,DATA,0x0003,0x0003,11,-66,1,,
17:15:10.717,DATA,0x0004,0x0004,11,-70,1,,
17:15:11.667,DATA,0x0005,0x0005,12,-81,1,,
17:15:11.705,DATA,0x0003,0x0003,12,-60,1,,
17:15:11.719,DATA,0x0004,0x0004,12,-73,1,,
17:15:12.653,DATA,0x0003,0x0003,13,-61,1,,
17:15:12.697,DATA,0x0005,0x0005,13,-66,1,,
17:15:12.716,DATA,0x0004,0x0004,13,-74,1,,
17:15:13.670,DATA,0x0003,0x0003,14,-61,1,,
17:15:13.710,DATA,0x0005,0x0005,14,-66,1,,
17:15:13.721,DATA,0x0004,0x0004,14,-68,1,,
17:15:14.668,DATA,0x0003,0x0003,15,-61,1,,
17:15:14.706,DATA,0x0004,0x0004,15,-71,1,,
17:15:14.717,DATA,0x0005,0x0005,15,-72,1,,
17:15:15.666,DATA,0x0005,0x0005,16,-66,1,,
17:15:15.687,DATA,0x0003,0x0003,16,-66,1,,
17:15:15.750,DATA,0x0004,0x0004,16,-73,1,,
17:15:16.674,DATA,0x0003,0x0003,17,-62,1,,
17:15:16.689,DATA,0x0005,0x0005,17,-69,1,,
17:15:16.725,DATA,0x0004,0x0004,17,-70,1,,
17:15:17.670,DATA,0x0005,0x0005,18,-67,1,,
17:15:17.708,DATA,0x0003,0x0003,18,-63,1,,
17:15:17.728,DATA,0x0004,0x0004,18,-69,1,,
17:15:18.668,DATA,0x0003,0x0003,19,-69,1,,
17:15:18.706,DATA,0x0005,0x0005,19,-75,1,,
17:15:18.718,DATA,0x0004,0x0004,19,-69,1,,
17:15:19.646,DATA,0x0003,0x0003,20,-65,1,,
17:15:19.698,DATA,0x0005,0x0005,20,-75,1,,
17:15:19.709,DATA,0x0004,0x0004,20,-68,1,,
17:15:20.672,DATA,0x0003,0x0003,21,-66,1,,
17:15:20.709,DATA,0x0005,0x0005,21,-75,1,,
17:15:20.722,DATA,0x0004,0x0004,21,-69,1,,
17:15:21.672,DATA,0x0005,0x0005,22,-75,1,,
17:15:21.709,DATA,0x0004,0x0004,22,-69,1,,
17:15:21.721,DATA,0x0003,0x0003,22,-65,1,,
17:15:22.650,DATA,0x0005,0x0005,23,-77,1,,
17:15:22.698,DATA,0x0004,0x0004,23,-69,1,,
17:15:22.710,DATA,0x0003,0x0003,23,-65,1,,
17:15:23.655,DATA,0x0005,0x0005,24,-74,1,,
17:15:23.690,DATA,0x0003,0x0003,24,-61,1,,
17:15:23.718,DATA,0x0004,0x0004,24,-69,1,,
17:15:24.656,DATA,0x0003,0x0003,25,-60,1,,
17:15:24.703,DATA,0x0005,0x0005,25,-66,1,,
17:15:24.720,DATA,0x0004,0x0004,25,-74,1,,
17:15:25.687,DATA,0x0003,0x0003,26,-62,1,,
17:15:25.714,DATA,0x0005,0x0005,26,-70,1,,
17:15:25.727,DATA,0x0004,0x0004,26,-72,1,,
17:15:26.674,DATA,0x0005,0x0005,27,-74,1,,
17:15:26.686,DATA,0x0004,0x0004,27,-66,1,,
17:15:26.721,DATA,0x0003,0x0003,27,-71,1,,
17:15:27.678,DATA,0x0003,0x0003,28,-63,1,,
17:15:27.690,DATA,0x0005,0x0005,28,-82,1,,
17:15:27.725,DATA,0x0004,0x0004,28,-70,1,,
17:15:28.651,DATA,0x0004,0x0004,29,-73,1,,
17:15:28.687,DATA,0x0003,0x0003,29,-66,1,,
17:15:28.718,DATA,0x0005,0x0005,29,-78,1,,
17:15:29.677,DATA,0x0005,0x0005,30,-81,1,,
17:15:29.689,DATA,0x0003,0x0003,30,-67,1,,
17:15:29.725,DATA,0x0004,0x0004,30,-73,1,,
17:15:30.651,DATA,0x0005,0x0005,31,-82,1,,
17:15:30.701,DATA,0x0003,0x0003,31,-66,1,,
17:15:30.769,DATA,0x0004,0x0004,31,-68,1,,
17:15:31.681,DATA,0x0004,0x0004,32,-70,1,,
17:15:31.702,DATA,0x0005,0x0005,32,-81,1,,
17:15:31.729,DATA,0x0003,0x0003,32,-65,1,,
17:15:32.657,DATA,0x0003,0x0003,33,-64,1,,
17:15:32.708,DATA,0x0004,0x0004,33,-78,1,,
17:15:32.728,DATA,0x0005,0x0005,33,-68,1,,
17:15:33.684,DATA,0x0005,0x0005,34,-66,1,,
17:15:33.712,DATA,0x0004,0x0004,34,-76,1,,
17:15:33.726,DATA,0x0003,0x0003,34,-64,1,,
17:15:34.678,DATA,0x0003,0x0003,35,-64,1,,
17:15:34.712,DATA,0x0005,0x0005,35,-64,1,,
17:15:34.723,DATA,0x0004,0x0004,35,-74,1,,
17:15:35.671,DATA,0x0005,0x0005,36,-71,1,,
17:15:35.713,DATA,0x0003,0x0003,36,-65,1,,
17:15:35.727,DATA,0x0004,0x0004,36,-69,1,,
17:15:36.677,DATA,0x0005,0x0005,37,-70,1,,
17:15:36.690,DATA,0x0004,0x0004,37,-67,1,,
17:15:36.724,DATA,0x0003,0x0003,37,-65,1,,
17:15:37.684,DATA,0x0005,0x0005,38,-81,1,,
