Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,Rx_Count_Measured,PDR_Percent
15:34:46.782,DATA,0x00d4,0x00d4,24,-47,,
15:34:46.793,DATA,0x00d3,0x00d3,24,-64,,
15:34:47.783,DATA,0x00d3,0x00d3,25,-65,,
15:34:47.796,DATA,0x00d4,0x00d4,25,-46,,
15:34:48.793,DATA,0x00d4,0x00d4,26,-49,,
15:34:48.809,DATA,0x00d3,0x00d3,26,-67,,
15:34:49.784,DATA,0x00d3,0x00d3,27,-70,,
15:34:49.801,DATA,0x00d4,0x00d4,27,-48,,
15:34:50.785,DATA,0x00d3,0x00d3,28,-68,,
15:34:50.797,DATA,0x00d4,0x00d4,28,-50,,
15:34:51.787,DATA,0x00d3,0x00d3,29,-63,,
15:34:51.797,DATA,0x00d4,0x00d4,29,-48,,
15:34:52.768,DATA,0x00d4,0x00d4,30,-48,,
15:34:52.798,DATA,0x00d3,0x00d3,30,-62,,
15:34:53.784,DATA,0x00d4,0x00d4,31,-47,,
15:34:53.794,DATA,0x00d3,0x00d3,31,-61,,
15:34:54.789,DATA,0x00d3,0x00d3,32,-65,,
15:34:54.799,DATA,0x00d4,0x00d4,32,-46,,
15:34:55.786,DATA,0x00d4,0x00d4,33,-46,,
15:34:55.803,DATA,0x00d3,0x00d3,33,-65,,
15:34:56.779,DATA,0x00d4,0x00d4,34,-49,,
15:34:57.776,DATA,0x00d4,0x00d4,35,-49,,
15:34:58.778,DATA,0x00d4,0x00d4,36,-49,,
15:34:59.774,DATA,0x00d4,0x00d4,37,-50,,
15:35:00.824,DATA,0x00d4,0x00d4,38,-48,,
15:35:01.794,DATA,0x00d4,0x00d4,39,-48,,
15:35:01.846,DATA,0x00d3,0x00d3,39,-58,,
15:35:02.800,DATA,0x00d3,0x00d3,40,-69,,
15:35:02.813,DATA,0x00d4,0x00d4,40,-49,,
15:35:03.794,DATA,0x00d3,0x00d3,41,-67,,
15:35:03.806,DATA,0x00d4,0x00d4,41,-49,,
15:35:04.797,DATA,0x00d4,0x00d4,42,-49,,
15:35:04.813,DATA,0x00d3,0x00d3,42,-67,,
15:35:05.778,DATA,0x00d4,0x00d4,43,-48,,
15:35:05.809,DATA,0x00d3,0x00d3,43,-58,,
15:35:06.794,DATA,0x00d4,0x00d4,44,-54,,
15:35:06.803,DATA,0x00d3,0x00d3,44,-57,,
15:35:07.794,DATA,0x00d3,0x00d3,45,-58,,
15:35:07.804,DATA,0x00d4,0x00d4,45,-54,,
15:35:07.923,EVENT,TEST_STOP,Finished,,,,
15:35:08.805,DATA,0x00d4,0x00d4,46,-52,,
15:35:08.816,DATA,0x00d3,0x00d3,46,-56,,
15:35:09.201,RESULT,0x00d4,0x00d5,46,-48,43,93.48
15:35:09.211,RESULT,0x00d3,0x00d5,46,-64,41,89.13
15:35:25.073,EVENT,TEST_START,Duration_ms=60000,,,,
15:35:26.145,DATA,0x00d4,0x00d4,1,-45,,
15:35:27.107,DATA,0x00d3,0x00d3,2,-62,,
15:35:27.289,DATA,0x00d4,0x00d4,2,-47,,
15:35:28.116,DATA,0x00d4,0x00d4,3,-49,,
15:35:28.127,DATA,0x00d3,0x00d3,3,-58,,
15:35:29.122,DATA,0x00d3,0x00d3,4,-55,,
15:35:29.136,DATA,0x00d4,0x00d4,4,-47,,
15:35:30.134,DATA,0x00d3,0x00d3,5,-55,,
15:35:30.185,DATA,0x00d4,0x00d4,5,-47,,
15:35:31.116,DATA,0x00d3,0x00d3,6,-55,,
15:35:31.151,DATA,0x00d4,0x00d4,6,-47,,
15:35:32.092,DATA,0x00d4,0x00d4,7,-46,,
15:35:32.118,DATA,0x00d3,0x00d3,7,-59,,
15:35:33.111,DATA,0x00d3,0x00d3,8,-59,,
15:35:33.130,DATA,0x00d4,0x00d4,8,-46,,
15:35:34.111,DATA,0x00d3,0x00d3,9,-58,,
15:35:34.129,DATA,0x00d4,0x00d4,9,-46,,
15:35:35.113,DATA,0x00d3,0x00d3,10,-61,,
15:35:35.126,DATA,0x00d4,0x00d4,10,-49,,
15:35:36.107,DATA,0x00d4,0x00d4,11,-49,,
15:35:36.141,DATA,0x00d3,0x00d3,11,-61,,
15:35:37.133,DATA,0x00d3,0x00d3,12,-54,,
15:35:37.142,DATA,0x00d4,0x00d4,12,-47,,
15:35:38.115,DATA,0x00d4,0x00d4,13,-47,,
15:35:38.126,DATA,0x00d3,0x00d3,13,-54,,
15:35:39.123,DATA,0x00d4,0x00d4,14,-47,,
15:35:39.134,DATA,0x00d3,0x00d3,14,-59,,
15:35:40.113,DATA,0x00d4,0x00d4,15,-46,,
15:35:40.125,DATA,0x00d3,0x00d3,15,-59,,
15:35:41.116,DATA,0x00d4,0x00d4,16,-47,,
15:35:41.147,DATA,0x00d3,0x00d3,16,-54,,
15:35:42.104,DATA,0x00d4,0x00d4,17,-47,,
15:35:43.105,DATA,0x00d4,0x00d4,18,-46,,
15:35:44.109,DATA,0x00d4,0x00d4,19,-46,,
15:35:45.106,DATA,0x00d4,0x00d4,20,-46,,
15:35:46.121,DATA,0x00d4,0x00d4,21,-49,,
15:35:47.104,DATA,0x00d4,0x00d4,22,-49,,
15:35:48.106,DATA,0x00d4,0x00d4,23,-49,,
15:35:49.106,DATA,0x00d4,0x00d4,24,-47,,
15:35:50.107,DATA,0x00d4,0x00d4,25,-47,,
15:35:51.131,DATA,0x00d4,0x00d4,26,-46,,
15:35:52.104,DATA,0x00d3,0x00d3,27,-58,,
15:35:52.337,DATA,0x00d4,0x00d4,27,-49,,
15:35:53.118,DATA,0x00d4,0x00d4,28,-46,,
15:35:53.130,DATA,0x00d3,0x00d3,28,-58,,
15:35:54.117,DATA,0x00d4,0x00d4,29,-46,,
15:35:54.129,DATA,0x00d3,0x00d3,29,-61,,
15:35:55.125,DATA,0x00d3,0x00d3,30,-61,,
15:35:55.140,DATA,0x00d4,0x00d4,30,-49,,
15:35:56.125,DATA,0x00d3,0x00d3,31,-61,,
15:35:56.141,DATA,0x00d4,0x00d4,31,-49,,
15:35:57.102,DATA,0x00d4,0x00d4,32,-47,,
15:35:57.142,DATA,0x00d3,0x00d3,32,-55,,
